,Title,year,location,Latitude,Longitude
220,'n Shrink,2009,"Austin, Travis County, Texas, United States",30.2711286,-97.7436995
221,'n Shrink,2004,"Austin, Travis County, Texas, United States",30.2711286,-97.7436995
222,(S)avis,2004,"Teatre Nacional de Catalunya, Carrer de los Castillejos, el Fort Pienc, Eixample, Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España",41.3999764,2.185709260410055
223,(S)avis,2004,"Teatre Romea, Carrer de l'Hospital, el Raval, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España",41.3805321,2.1710813
224,(S)avis,2004,"Parlament de Catalunya, Plaça de Joan Fiveller, la Ribera, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España",41.38810965,2.1888825518499733
225,(Un)Balanced: A Web Series,2017,"Astoria, Queens, Queens County, New York, 11102, United States",40.7720145,-73.9302673
226,(gli) Imperatori,2014,"Roma, Roma Capitale, Lazio, Italia",41.8933203,12.4829321
227,+27: Social Innovators of South Africa,2014,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",-33.928992,18.417396
228,+27: Social Innovators of South Africa,2014,"Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa",-26.205,28.049722
229,...Amb Manel Fuentes,2004,,,
230,...De raz luna,2008,México,23.6585116,-102.0077097
231,...e le stelle stanno a guardare,1971,"Massa Marittima, Grosseto, Toscana, 58024, Italia",43.0500376,10.8879707
232,...e le stelle stanno a guardare,1971,"Punta Ala, Castiglione della Pescaia, Grosseto, Toscana, Italia",42.8012564,10.75113
233,/Drive on NBCSN,2004,"Zion National Park, Washington County, Utah, United States",37.320774,-113.00484758652519
234,/Drive on NBCSN,2004,"Las Vegas, Clark County, Nevada, United States",36.1672559,-115.148516
235,/Drive on NBCSN,2004,,,
236,/Drive on NBCSN,2004,"Death Valley National Park, California, 92328, United States",36.42404725,-116.914043672057
237,/Drive on NBCSN,2004,"Yosemite National Park, California, 95389, United States",37.84054795,-119.51658779802511
238,01-For London,1987,"London, Greater London, England, SW1A 2DX, United Kingdom",51.5073219,-0.1276474
239,01.09,2017,,,
240,0511 Sondersendung zu Theaterformen,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
241,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
242,0511 TV Lokal,2004,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
243,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
244,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
